Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R9","1M0","TopLayer","RESC0603X03L_C","138.2500","39.1720","270","Resistor, ±1%, 0.05W"
"C17","100pF","TopLayer","CAPC0603X03L_C","136.5250","39.8220","270","Capacitor, NP0, ±2%, 25V"
"L5","N.C.","TopLayer","INDC1005X04L_NC","132.4000","40.2500","180","Not mounted"
"R4","0R","TopLayer","RESC1005X04L","133.0002","41.5999","90","Resistor, ±5%, 0.063W"
"C85","N.C.","TopLayer","CAPC1005X04L_NC","133.5750","43.0000","0","Not mounted"
"TP23","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","73.1520","22.3520","0","1.5mm circular SMD testpad"
"TP22","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","73.1520","19.8120","0","1.5mm circular SMD testpad"
"R80","1M0","TopLayer","RESC0603X03L_C","104.4450","14.3500","0","Resistor, ±1%, 0.05W"
"R79","1M0","TopLayer","RESC0603X03L_C","105.5626","14.3500","180","Resistor, ±1%, 0.05W"
"R78","1M0","TopLayer","RESC0603X03L_C","104.4562","19.6000","0","Resistor, ±1%, 0.05W"
"R77","1M0","TopLayer","RESC0603X03L_C","105.5738","19.6000","180","Resistor, ±1%, 0.05W"
"R97","N.C.","TopLayer","RESC1005X04L_NC","16.5100","44.7790","270","Not mounted"
"TP29","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","127.1270","11.1770","90","1.5mm circular SMD testpad"
"TP31","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","125.4760","2.0650","90","1.5mm circular SMD testpad"
"TP32","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","82.9310","9.1106","90","1.5mm circular SMD testpad"
"R17","N.C.","TopLayer","RESC0603X03L_C_NC","35.4584","15.9766","270","Not mounted"
"U7","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","68.0720","20.4087","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C46","100nF","TopLayer","CAPC0603X03L_C","42.2830","34.7251","90","Capacitor, X5R, ±10%"
"R20","10k","TopLayer","RESC0603X03L_C","36.1188","15.9766","90","Resistor, ±1%, 0.05W"
"Q3","PMCPB5530","TopLayer","PMCPB5530X","33.8399","16.3830","0","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"Q6","NX3020NAKV","TopLayer","NX3020NAKV","105.0000","15.7500","0","MOSFET 2N-CH 30V 0.2A SOT666"
"Q5","NX3020NAKV","TopLayer","NX3020NAKV","105.0000","21.0000","0","MOSFET 2N-CH 30V 0.2A SOT666"
"TP50","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","39.3700","16.8031","90","1.5mm circular SMD testpad"
"R11","1M0","TopLayer","RESC0603X03L_C","92.7862","47.4218","180","Resistor, ±1%, 0.05W"
"J7","FPC 0.5mm RA SMD","BottomLayer","FPC_05P-0.5mm-RA-SMD","96.8960","60.5730","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"C72","N.C.","BottomLayer","CAPC0603X03L_C_NC","97.7900","58.4718","180","Not mounted"
"C71","N.C.","BottomLayer","CAPC0603X03L_C_NC","96.0120","58.4718","180","Not mounted"
"CR1","EZA-EG1N50AC","TopLayer","RESC0603X03L_C","103.1578","53.7232","180","ESD Suppressor, 30V, 0.04pF"
"TP4","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","137.4050","16.0000","0","1.0mm circular SMD testpad"
"TP3","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","137.4050","17.9050","0","1.0mm circular SMD testpad"
"TP2","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","137.4050","19.8100","0","1.0mm circular SMD testpad"
"R45","1M0","TopLayer","RESC0603X03L_C","69.8500","20.2438","180","Resistor, ±1%, 0.05W"
"R72","1M0","TopLayer","RESC0603X03L_C","88.2142","37.6682","180","Resistor, ±1%, 0.05W"
"R51","1M0","TopLayer","RESC0603X03L_C","90.0938","28.9306","90","Resistor, ±1%, 0.05W"
